date,tweet,sentiment,saham
2020-01-01,Tlkm babik lah wkwk,negatif,tlkm
2020-01-01,Eh taunya malah makin terbang Kalo mau nyicil aja di TLKM noh,positif,tlkm
2020-01-01,"Terdampak Banjir, Indosat Tangani Kendala Telekomunikasi #indosat #banjir #ISAT #flood https://marketmover.id/2020/01/terdampak-banjir-indosat-tangani-kendala-telekomunikasi/lewat@MarketMover.ID",negatif,isat
2020-01-01,besok stock split UNVR gaes FYI aja,positif,unvr
2020-01-01,Gak sabar besok liat UNVR Stocksplit..,negatif,unvr
2020-01-02,"Oke target 2020 UNVR mulai terealisasi setelah stock split, udah dapet di 8600. Next ICBP dan ASII",positif,icbp
2020-01-02,haha ajg emng tlkm,negatif,tlkm
2020-01-02,"BBRI sama TLKM lah, scr fdmental dan teknikal mantul",positif,tlkm
2020-01-02,"Indeks Bisnis-27 Ditutup Flat, TLKM & ASII Tahan Kenaikan http://bit.ly/39wejoR",positif,tlkm
2020-01-02,"TLKM ✓ BBRI & JSMR (Ongoing) Cuma TLKM mesti di pompom nih, lelet banget.",negatif,tlkm
2020-01-02,Risky banget ga sih kalo 1:10 udah mirip kaya TLKM ntar,negatif,tlkm
2020-01-02,"Dah 2 minggu berarti :) Gara gaada kuota kemaren jadi males lanjutnya wkwkw, makasih tlkm",negatif,tlkm
2020-01-02,TLKM blee,positif,tlkm
2020-01-02,"Kalau syariah tlkm unvr bisa tuh, wah ambilnya yg syariah ya mantap2",positif,tlkm
2020-01-02,"Saham TLKM & TPIA Dongkrak JII Menguat 0,46 Persen http://bit.ly/2Qym7hm",positif,tlkm
2020-01-02,"BBNI, BBRI, & BMRI. Payroll dari mereka",positif,bmri
2020-01-02,UNVR udah bisa dibeli di harga 850 rebu haha,positif,unvr
2020-01-02,UNVR udah stock split. Bentar lagi BBCA?,positif,unvr
2020-01-02,#EmitenNews Unilever Indonesia Tbk (UNVR) hari ini diperdagangkan dengan harga saham baru (stock split) dgn rasio 1:5,positif,unvr
2020-01-02,Semoga UNVR bukan Stockplit gagal seperti MYOR,negatif,unvr
2020-01-02,LUPA UNVR HARI INI SPLIT STOCK ANJGGGGG!!!!!!,negatif,unvr
2020-01-02,$UNVR stock split dari yg se-lot nyampe 4.2juta sekarang jadi 800ribuan gaskeun teu?,positif,unvr
2020-01-02,"UNVR stock split. Akhirnya yg ga sanggup terbeli, terbeli juga. Mudah2an berkah",positif,unvr
2020-01-02,Pencapaian awal tahun: bisa beli saham $UNVR karena stock split. Alhamdulillah.,positif,unvr
2020-01-02,"UNVR. Harga pasarnya ga dapet. aku tawar di harga pembukaan, ternyata udh naek lagi. huh",positif,unvr
2020-01-02,"Sedih nggak punya cash cadangan buat beli stock split UNVR, dan sekarang udah naik 2.4% dari harga baru",positif,unvr
2020-01-02,Yang di tunggu tunggu akhirnya Terjadi ! UNVR telah stock Split hari ini ! Nunggu Apa lagi ? kuy takis • • • Tag dan mention Temen Kamu ! • • #saham #investasikiniuntuknanti #nabungsaham #belajarsaham https://instagram.com/p/B6z0Mc-lfOs/?igshid=xo4gdgt7aodl,positif,unvr
2020-01-02,Nyesall gak beli unvr kemarin hari ini stocksplit 1:5 dengan harga 8.300 per lembar,negatif,unvr
2020-01-02,sebahagia itu karena UNVR stock split akhirnya kebeli saham Unilever,positif,unvr
2020-01-02,"ibarat km punya uang 100.000 terus distock split 1:5 , uang mu jadi 20.000 jumlah nya 5 , secara nilai sama 100.000 1lot = 100 lembar Misal km punya 1 lot UNVR sebelum stock split, sekarang jadi 5 lot, kitu la kira kira, CMIIW",positif,unvr
2020-01-02,Kebeli juga UNVR,positif,unvr
2020-01-02,"Ditransaksikan di harga baru, saham Unilever (UNVR) naik lebih dari 2% http://investasi.kontan.co.id/news/ditransaksikan-di-harga-baru-saham-unilever-unvr-naik-lebih-dari-2#Emiten",positif,unvr
2020-01-02,Setahun cuma punya saham UNVR doang dong,positif,unvr
2020-01-02,"Meski tidak ada yang aman, UNVR paling aman dari yang aman. Semua produknya hampir dipakai sebagai kebutuhan sehari-hari",positif,unvr
2020-01-02,$UNVR ini adalah salah satu emiten big cap yang cocok buat invest jangka panjang..kenapa harus ragu untuk beli? Fundamental kuat dan nama besar perusahaan sudah cukup meyakinkanku utk koleksi saham ini,positif,unvr
2020-01-02,"UNVR selembar udah Rp. 8.600,- Ga mau mulai beli?",positif,unvr
2020-01-02,UNVR Jatuh harganya. Stock Split tapi,negatif,unvr
2020-01-02,Kapan lagi punya UNVR 5 lot,positif,unvr
2020-01-02,"Lg bokek bgt gini, unvr split stock",negatif,unvr
2020-01-02,"Mo cry ga nyangka bisa ke beli unvr, kirain itu hanyalah mimpi panjang yg tak pernah usai~ (ya walaupun hasil stock split)",positif,unvr
2020-01-02,Helloooo yakali UNVR jual saham gorengan,negatif,unvr
2020-01-02,Unilever $UNVR udh resmi stock split. Gudang Garam $GGRM sama BCA $BBCA kapan?,positif,unvr
2020-01-02,"dari banyak saham perusahaan yg turun gara2 banjir; UNVR okelah biru karna baru buka lembar, lah ini Gudang Garam?!?!?! pdhl per 1 januari harga rokok naik hahahahahahahaha seru bgt",negatif,unvr
2020-01-02,"Biasalah kalo anak baru impiannya punya unvr, bbca, ggrm. Unvr udah nih, akan kah bbca & ggrm ngikut stock split ???",positif,unvr
2020-01-02,Ceklist pertama di 2020: akhirnya bisa urun buat unvr kalo ga stock split kaga kebeli2 itu,positif,unvr
2020-01-02,Good news.... tapi entah kenapa daqu tetep takut beli unvr... fundamental bagus sih (bagus banget)... demand juga udah mulai naik karena stock split.. tapi......... its just too good to be true...,positif,unvr
2020-01-02,"Yes,dapqt UNVR 4 lot dgn agak maksa",negatif,unvr
2020-01-02,"Monggo, yg mau beli saham $UNVR, sekarang sudah lebih terjangkau harganya #yuknabungsaham",positif,unvr
2020-01-02,"Iya, malah menanjak Jadi dengan PBV 47.24 kira kira masih wajar ngga unvr ini?",positif,unvr
2020-01-02,Anjenk. Sibuk ngurus banjir jadi lupa UNVR,negatif,unvr
2020-01-02,Sampe lupa kalo hari ini UNVR udah stocksplit,negatif,unvr
2020-01-02,Kalo punya duit beli unvr ajaaa bbrp tahn kedepan bisa aja kamu kaya hotman paris,positif,unvr
2020-01-02,Bokap beli $UNVR taun 99 di hold sampe hampir kelupaan. 10 tahun kemudian gua pun ikut beli,positif,unvr
2020-01-02,Aku beralih dulu dari UNVR wkwkwk,positif,unvr
2020-01-02,Akhirnya bisa punya UNVR #ihsg,positif,unvr
2020-01-02,"Welcome 2020 langsung berasa sultan punya UNVR puluhan lot, padahal...",positif,unvr
2020-01-02,UNVR IJ: PT Unilever Indonesia Tbk berencana mengeluarkan dua produk baru di tahun 2020. Ini merupakan strategi UNVR untuk terus menguasai pasar sekaligus untuk menghadapi tantangan adanya pelemahan daya beli tahun 2020. *Disclaimer ON,positif,unvr
