date,tweet,sentiment,saham
2018-01-01,"Simak rekomendasi teknikal BBRI, KRAS dan SMGR http://investasi.kontan.co.id/news/simak-rekomendasi-teknikal-bbri-kras-dan-smgr#RekomendasiSaham",positif,bbri
2018-01-01,"07 KontanNews Simak rekomendasi teknikal BBRI, KRAS dan SMGR http://investasi.kontan.co.id/news/simak-rekomendasi-teknikal-bbri-kras-dan-smgr#RekomendasiSaham",positif,bbri
2018-01-01,Saham.syariah ya ada lah om..check and google daftar saham syariah 2017.. ada di web site OJK. Top ten anda ..yg termasuk saham syariah TLKM UNTR UNVR dan asii,netral,tlkm
2018-01-01,"Jadi, setiap kode perusahan yg melantai di IDX terdiri dr empat huruf, selain WIKA contohnya TLKM, AISA, GJTL, MYRX, PNBS, dan lainnya",netral,tlkm
2018-01-01,Si euG kayaknya kudu beli TLKM nih. Dikerjain operator.... Kamvreeetd emang,netral,tlkm
2018-01-01,"Mudah-mudahan 2018 ini kita bisa ketemu di BMRI yaa, baik sebagai rekan kerja ataupun nasabah",netral,bmri
2018-01-01,"Ini thn ke 15 di BMRI. Selalu ada aja yg nanya ngapain kerja kantoran lg, anggapan mrk duitku dr nulis cukup. Jawabanku: Kerja di BMRI itu dikelilingi org2 pinter yg bikin aku terus tumbuh tiap hari, lingkungan kerja yg udh kyk keluarga, dukung personal growth pula. Cintalah!",positif,bmri
2018-01-01,"“Semoga thn 2017, memberikan jg kebaikan & kebahagiaan kpd teman-teman semua dari sisi kehidupan pribadi. Sampaikan salam hangat kpd keluarga di rumah, & terimakasih atas dukungan yg diberikan utk waktu dan kerja keras teman-teman semua.” Pesan CEO-ku td mlm. Gmn gak BMRI.",positif,bmri
2018-01-01,Saham.syariah ya ada lah om..check and google daftar saham syariah 2017.. ada di web site OJK. Top ten anda ..yg termasuk saham syariah TLKM UNTR UNVR dan asii,netral,unvr
2018-01-02,"#kafein Membuka tahun 2018 ini, ASING NET BUY +520M, pada saham #BBCA +139M, #BBRI +110M dan #TLKM +68M.",positif,bbri
2018-01-02,Stahhhppp,netral,bbri
2018-01-02,"#kafein Membuka tahun 2018 ini, ASING NET BUY +520M, pada saham #BBCA +139M, #BBRI +110M dan #TLKM +68M.",positif,tlkm
2018-01-02,"#Saham #IDX:TLKM 02 Januari 2018 14:49 | 4.410 (-30/-0,68%) | Open:4.430 | Pergerakkan:4.380 - 4.460 | http://ihsg-idx.com",netral,tlkm
2018-01-02,"#Saham #IDX:TLKM 02 Januari 2018 11:48 | 4.430 (-10/-0,23%) | Open:4.430 | Pergerakkan:4.380 - 4.460 | http://ihsg-idx.com",netral,tlkm
2018-01-02,"@HaloBCA ini Intern Banking individu knp ya? dari 3 operator (tlkm, excl, isat) gak bisa nih.....",netral,tlkm
2018-01-02,"TLKM: Trading Buy, Trading Range Rp 4370-Rp 4500, Entry Rp 4440, take Profit Rp 4500, RSI berada dalam area overbought. #DailyNewsValbury",positif,tlkm
2018-01-02,@ryanfilbert : BMRI S1 7790. S2 7600.,netral,bmri
2018-01-02,Bank Mandiri (BMRI) kembali menurunkan suku bunga simpanan berjangka atau deposito dan tabungan dalam denominasi Rupiah. Perseroan menurunkan bunga sebesar 25 bps untuk simpanan di atas Rp 2 miliar. #Daily #news #morning,positif,bmri
2018-01-02,"Saham UNVR & ASII Topang JII Menguat 0,73% di Akhir Sesi I http://bit.ly/2DMdQyd",positif,unvr
2018-01-03,"BBRI.JK berpeluang melemah, area sos di level 3,560 sampai 3,720. Area buy back jika break level 3,790 dan target pelemahan ke level 3,390 sampai 3,460.",netral,bbri
2018-01-03,"Berita Hari Ini : Sandiaga Siapkan Lima IPO BUMD DKI, BBRI Akuisisi via BRI Agro https://goo.gl/HqRsMd",netral,bbri
2018-01-03,*setup automatic transfer *siap-siap beli saham BRPT BBTN BBNI BBRI TLKM UNVR dan lain sebagainya,positif,bbri
2018-01-03,Lowongan PT Indofood CBP Sukses Makmur Tbk - Recruitment For Fresh Graduate MT Program Noodles Division ICBP... https://fb.me/CozMpaWM,positif,icbp
2018-01-03,Make tlkm aja klo mau nntkn yg gituan,netral,tlkm
2018-01-03,TLKM masih di level 4410... Ada yang lebih murah daripada TLKM?,positif,tlkm
2018-01-03,"#Saham #IDX:TLKM 03 Januari 2018 15:15 | 4.210 (-200/-4,54%) | Open:4.380 | Pergerakkan:4.210 - 4.380 | http://ihsg-idx.com",netral,tlkm
2018-01-03,"JII Anjlok 2,22% di Akhir Sesi I, Saham TLKM & UNVR Penekan Utama http://bit.ly/2CIfi5q",negatif,tlkm
2018-01-03,"#Saham #IDX:TLKM 03 Januari 2018 12:00 | 4.240 (-170/-3,85%) | Open:4.380 | Pergerakkan:4.230 - 4.380 | http://ihsg-idx.com",netral,tlkm
2018-01-03,"TLKM.JK berpeluang melemah, area sos di level 4,270 sampai 4,460. Area buy back jika break level 4,550 dan target pelemahan ke level 4,110 sampai 4,200.",netral,tlkm
2018-01-03,"#Saham #IDX:TLKM 03 Januari 2018 09:10 | 4.340 (-70/-1,59%) | Open:4.380 | Pergerakkan:4.320 - 4.380 | http://ihsg-idx.com",netral,tlkm
2018-01-03,tlkm setelah rugi berbulan-bulan... berbekal kesabaran.. dapat untung,positif,tlkm
2018-01-03,"AKSI EMITEN 3 JANUARI: DKI Jakarta Siapkan IPO 5 BUMD, TLKM Alokasikan 60% Capex http://bit.ly/2DV2JmN",netral,tlkm
2018-01-03,*setup automatic transfer *siap-siap beli saham BRPT BBTN BBNI BBRI TLKM UNVR dan lain sebagainya,positif,tlkm
2018-01-03,"BMRI.JK berpeluang melemah, area sos di level 7,800 sampai 8,100. Area buy back jika break level 8,260 dan target pelemahan ke level 7,350 sampai 7,500.",netral,bmri
2018-01-03,"PROFINDO SEKURITAS INDONESIA: Rekomendasi Beli Saham SSIA, SIMP, BMRI, dan ASII http://bit.ly/2CFNkXV",positif,bmri
2018-01-03,"IHSG koreksi setelah capai target CTA di 6.370. Warning dari astrocycle CTA kemarin (Supermoon & planetary cycle), membantu trading CTASaham tetap aman & outperform profit (INDY PTRO dll). IHSG masih ngebull selama > 5.980-6.012 wajar koreksi karena IHSG naik hanya BANK HMSP UNVR",positif,unvr
2018-01-03,"JII Anjlok 2,22% di Akhir Sesi I, Saham TLKM & UNVR Penekan Utama http://bit.ly/2CIfi5q",negatif,unvr
2018-01-03,"Univ OB Kemarin saham2 di BLOW OFF untuk membentuk PEAK IHSG 6445 HMSP: - http://obrolanbandar.com/plkhmsp180102.pngUNVR:-http://obrolanbandar.com/plkunvr180102.pngINGAT:-BURSAituPANGGUNGSANDIWARA,jadienggaperlubanyakTEORI...hehe",netral,unvr
2018-01-03,"#MarketReview #Saham TOP loser by change: UNVR (-Rp1,875), UNTR (-Rp1,075), INAF (-Rp975), ITMG (-Rp500), dan AALI (-Rp375)",negatif,unvr
2018-01-03,*setup automatic transfer *siap-siap beli saham BRPT BBTN BBNI BBRI TLKM UNVR dan lain sebagainya,positif,unvr
2018-01-04,#kafein sesi1 market sempat mencoba menguat tapi tekanan para #BBRI dan mungkin juga pada #Unvr membuat idx masih tergerus hingga sore,negatif,bbri
