date,tweet,saham
2026-01-01,"Berdasarkan data terkini (1 Jan 2026), saham potensial ARA besok termasuk BBRI, BMRI, BBCA (sektor bank, kuat fundamental), serta PTRO dan HRUM (energi, target naik). Sentimen positif: January Effect (60% peluang IHSG naik), pemulihan ekonomi, potensi IPO, dan ekspektasi suku",bbri
2026-01-01,Target Harga Saham BBRI di 2026 #saham #infosaham #investasi,bbri
2026-01-01,"SMDR dah jadi rebutan, sementara BBRI (dan kawan2 sektornya) masih jauh dari perhatian. Selesai. Lanjut tes recehan : Apa yang dibuang pasti akan dipungut kembali Ora bagger-baggeran, penting iso disambi ngopi lan ditinggal kerjo.",bbri
2026-01-01,tolong 2026 kembalikan $BBRI ke 5k,bbri
2026-01-01,"Wishlist 2026 1. 10 Lot BBCA, 20 Lot BBRI, 1 gr emas 2. Alfamart Run, BTN 10k, JRF 10k 3. MT, BPS Pertamina & CPNS 4. Bootcamp Data Analyst, Sertif BNSP & Toefl 5. Trip Banyuwangi/Karimun Jawa 6. Merbabu, Lawu, Salak, Ciremai Amin!",bbri
2026-01-01,"Asii FP +23% udah TP sebagian Bbri FL - 17% Btps FL -12% Bfin FL -9% Scma FP 120% udah TP 75 persen Buying power tinggal 20-25 persen,, Mohon saran ustadz",bbri
2026-01-01,Aku sudah nyicil saham $MEJA target 300 $BUMI target 900 $MTK target 1500-2000 Berikutnya akan nyicil (nunggu turun diharga tertentu) $ADRO $RMKE $BBRI Sementara itu dulu,bbri
2026-01-01,BRI (BBRI) Luncurkan Kartu Debit Edisi Khusus FC Barcelona,bbri
2026-01-01,"#kafeinvestor #BBRI 3660 ditutup kritis, mendekati support krusial 3650. atau dalam range bawah 3650-3500 untuk menahan koreksi lebih lanjut.",bbri
2026-01-01,Transformasi BRI terus berjalan dan hasilnya mulai terasa. PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) optimistis kinerja perseroan akan semakin solid dalam beberapa tahun ke depan seiring transformasi menyeluruh yang dijalankan. #BRI #BBRI #BRIVolution,bbri
2026-01-01,https://ipol.id/2026/01/optimis-menyambut-tahun-2026-direktur-utama-bri-tegaskan-keyakinan-pada-transformasi-dan-strategi-pertumbuhan-jangka-panjang/#google_vignettehttp://IPOL.ID–PTBankRakyatIndonesia(Persero)Tbk(BBRI)meyakinikinerjaperseroanakansemakinbaikdalambeberapatahunkedepanseiringberjalannyatransformasiyangdilakukan.#bri#bankbri#bbri#ipol,bbri
2026-01-01,"invest 100jt an di $BBRI awal Desember 2025, di 2030 jd brp? sering bgt liat iklan kalo invest xxxx 5 thn lalu, skrg sudah jd 2-3x, disini ane mau coba lakuin itu dividen yg diterima akan diinvestasikan kembali saat cair disclaimer: not financial advice",bbri
2026-01-01,Salut,bbri
2026-01-01,"Nasib Saham BBRI, BUMI, dan BBCA #saham #infosaham #investasi",bbri
2026-01-01,"Dampak aturan ini ke Saham Indonesia: - Harga daging global bisa naik → potensi dorong inflasi. - Emiten peternakan ($CPIN, $JPFA) bisa diuntungkan. - Emiten konsumer ($ICBP, $MYOR) bisa tertekan margin.",icbp
2026-01-01,PT Telkom Indonesia Tbk (TLKM) terus menjalankan strategi korporasi untuk menjaga pertumbuhan bisnis di tengah tekanan industri telekomunikasi dan percepatan transformasi digital nasional. Meski sepanjang Januari hingga September 2025 pendapatan konsolidasi tercatat sekitar,tlkm
2026-01-01,"@yukbisayuklin Halo Sahabat @yukbisayuklin , untuk tanggal 2 Januari 2026 layanan kantor cabang sudah beroperasional kembali pada pukul 08.00-15.00 wakti setempat. Untuk operasional kantor cabang Bank Mandiri dpt diakses melalui http://bmri.id/infocabangataumelaluiMITAdi",bmri
2026-01-01,"JAKARTA – PT Darma Henwa Tbk (DEWA), kontraktor tambang milik Grup Bakrie, telah memperoleh fasilitas kredit senilai Rp5 triliun dari PT Bank Central Asia Tbk (BBCA) atau BCA dan PT Bank Mandiri (Persero) Tbk (BMRI). Baca selengkapnya: https://idnfinancials.com/id/news/59999/dewa-milik-grup-bakrie-utang-rp5-triliun-ke-bca-dan-bank-mandiri",bmri
2026-01-01,"Nikmati Shopee 1.1 New Year Sale, diskon s.d. Rp1.050.000* pakai Mandiri Kartu Kredit. Berlaku hingga 2 Januari 2026. *Info lengkap: http://bmri.id/shopee11BankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia.#MandiriKartuKredit#BankMandiri",bmri
2026-01-01,"Nikmati Special Dessert Slice Cake of the Day* pakai Mandiri Kartu Kredit di Wolfgang’s Steakhouse, berlaku s.d. 31 Maret 2026. *Info lengkap: http://bmri.id/wolfgangs26BankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia.#MandiriKartuKredit",bmri
2026-01-01,"Nikmati diskon s.d. 15%* setiap bulan di tanggal kembar untuk booking hotel favoritmu di Agoda pakai Mandiri Debit Visa Platinum. Berlaku hingga 3 Maret 2026. *Info: http://bmri.id/debitvisaagodaBankMandiriberizindandiawasiolehOtoritasJasaKeuangandanBankIndonesia,serta",bmri
