tweet_original,tweet_preprocessed,tokens_wordpiece,jumlah_kata_sebelum,jumlah_token_sesudah,token_ids
"Bbca,bbri,tlkm,itmg dpt dibawah harga wajar","bbca,bbri,tlkm,itmg dapat dibawah harga wajar","bbc ##a , bbr ##i , tl ##km , it ##mg dapat dibawah harga wajar",5,15,"[3, 10947, 936, 16, 20406, 939, 16, 19349, 14627, 16, 2848, 20151, 1708, 6338, 2661, 7020, 4]"
"Trading Selasa (27/02/2024) BBNI, KLBF, BREN, TPIA, ARKO, dan AMRT IHSG Technical View IHSG ditutup turun 0.15% kemarin, dan disertai dengan net sell asing ~913 Miliar. Saham yang paling banyak dijual asing adalah BBCA, BMRI, ADRO, TLKM, dan KLBF.","trading selasa 27 02 2024 bbni, klbf, bren, tpia, arko, dan amrt ihsg technical view ihsg ditutup turun 0.15% kemarin, dan disertai dengan net sell asing 913 miliar. saham yang paling banyak dijual asing adalah bbca, bmri, adro, tlkm, dan klbf.","trading selasa 27 02 2024 bb ##ni , klb ##f , bre ##n , tpi ##a , ar ##ko , dan am ##rt ihsg techn ##ical view ihsg ditutup turun 0 . 15 % kemarin , dan disertai dengan net sell asing 91 ##3 miliar . saham yang paling banyak dijual asing adalah bbc ##a , bm ##ri , ad ##ro , tl ##km , dan klb ##f .",41,69,"[3, 23389, 3764, 3402, 8338, 8980, 4448, 1920, 16, 30518, 955, 16, 11331, 935, 16, 29336, 936, 16, 1680, 3080, 16, 1501, 1740, 10095, 20258, 10117, 6979, 12524, 20258, 5962, 3456, 20, 18, 2334, 9, 4454, 16, 1501, 6869, 1545, 5019, 28108, 3779, 14354, 964, 3732, 18, 3955, 1497, 2323, 1814, 5462, 3779, 1581, 10947, 936, 16, 9772, 1667, 16, 1543, 2569, 16, 19349, 14627, 16, 1501, 30518, 955, 18, 4]"
"Wah pas banget beli bmri kemaren, kayaknya terakhir tu dia di angka 5rb","wah pas banget beli bmri kemaren, kayaknya terakhir itu dia di angka 5rb","wah pas banget beli bm ##ri kemaren , kayaknya terakhir itu dia di angka 5rb",13,15,"[3, 3281, 1746, 10218, 6356, 9772, 1667, 7228, 16, 22256, 2676, 1570, 1801, 1485, 4033, 9887, 4]"
"ambil ilmu dari Lo Kheng Hong deh, karena dari dia kita tau ilmu tenang itu penting bgt. dengan diamnya itu dia berhasil mengakumulasi saham BBRI dengan nilai yang fantastis #SahamBBRI","ambil ilmu dari lo kheng hong deh, karena dari dia kita tau ilmu tenang itu penting bgt. dengan diamnya itu dia berhasil mengakumulasi saham bbri dengan nilai yang fantastis sahambbri","ambil ilmu dari lo kh ##eng hong deh , karena dari dia kita tau ilmu tenang itu penting bgt . dengan diam ##nya itu dia berhasil mengaku ##mul ##asi saham bbr ##i dengan nilai yang fantastis saham ##bb ##ri",30,39,"[3, 8009, 2579, 1542, 5151, 1965, 1508, 5267, 9969, 16, 1686, 1542, 1801, 1732, 5661, 2579, 6739, 1570, 2544, 6048, 18, 1545, 4403, 1519, 1570, 1801, 2614, 2602, 19745, 1539, 3955, 20406, 939, 1545, 2692, 1497, 20464, 3955, 14593, 1667, 4]"
Ekspansi internasional dan produk bertenaga surya dari Nasdaq: $LOBO menarik minat global. Pesanan besar dari Ekuador siap meningkatkan pendapatan 15%. #NasdaqLOBO $IDX $TLKM $CSCO #ToTheMoon #OpenAlwaysWin #Interpreter #MembangunNKRI #9SUPERSONICCOMEBACK #JINFORKOREA #Sayur,ekspansi internasional dan produk bertenaga surya dari nasdaq lobo menarik minat global. pesanan besar dari ekuador siap meningkatkan pendapatan 15%. nasdaqlobo idx tlkm csco tothemoon openalwayswin interpreter membangunnkri 9supersoniccomeback jinforkorea sayur,ekspansi internasional dan produk bert ##ena ##ga surya dari nas ##da ##q lob ##o menarik minat global . pesanan besar dari ekuador siap meningkatkan pendapatan 15 % . nas ##da ##q ##lob ##o idx tl ##km cs ##co tot ##he ##mo ##on open ##al ##ways ##win inter ##pret ##er membangun ##nkri 9 ##super ##son ##ic ##come ##back jin ##for ##ko ##re ##a sayur,31,63,"[3, 13412, 2909, 1501, 2392, 2024, 1658, 1534, 6909, 1542, 3186, 1808, 961, 12500, 928, 3298, 7924, 4684, 18, 12051, 1819, 1542, 19819, 3588, 3552, 5113, 2334, 9, 18, 3186, 1808, 961, 21884, 928, 31113, 19349, 14627, 9357, 4322, 3529, 5526, 5096, 1503, 10441, 1483, 14689, 5465, 2065, 10807, 1477, 3500, 20341, 29, 22352, 3386, 1768, 23573, 14810, 7218, 8392, 3080, 2881, 936, 10826, 4]"
"Liat saldo rdn kok nambah? Eh deviden bbca & bbri mayan banget Sayang si bmri dah di sell semua, ya untungnya jg mayan, devidennya juga oke ih!","lihat saldo rdn kok nambah? eh deviden bbca bbri lumayan banget sayang sih bmri sudah di sell semua, ya untungnya juga mayan, devidennya juga oke ih!","lihat saldo rd ##n kok nambah ? eh dev ##iden bbc ##a bbr ##i lumayan banget sayang sih bm ##ri sudah di sell semua , ya untungnya juga mayan , dev ##iden ##nya juga oke ih !",26,37,"[3, 3983, 30379, 15541, 935, 5303, 7038, 35, 10730, 5224, 6194, 10947, 936, 20406, 939, 10855, 10218, 5458, 6041, 9772, 1667, 1798, 1485, 28108, 2014, 16, 3316, 16336, 1614, 13269, 16, 5224, 6194, 1519, 1614, 19114, 8602, 5, 4]"
"IHSG ditutup menguat nih Sobat Bisnis Indeks Harga Saham Gabungan (IHSG) ditutup menguat ke 7.041,07 pada perdagangan hari ini, Selasa, (28/11/2023). Saham BREN milik Prajogo Pangestu, TLKM dan MDKA terpantau parkir di zona hijau.","ihsg ditutup menguat nih sobat bisnis indeks harga saham gabungan ihsg ditutup menguat ke 7.041,07 pada perdagangan hari ini, selasa, 28 11 2023 . saham bren milik prajogo pangestu, tlkm dan mdka terpantau parkir di zona hijau.","ihsg ditutup menguat nih sobat bisnis indeks harga saham gabungan ihsg ditutup menguat ke 7 . 04 ##1 , 07 pada perdagangan hari ini , selasa , 28 11 2023 . saham bre ##n milik praj ##ogo pang ##est ##u , tl ##km dan md ##ka terpantau parkir di zona hijau .",37,52,"[3, 20258, 5962, 12692, 10713, 27341, 3567, 7568, 2661, 3955, 6274, 20258, 5962, 12692, 1500, 27, 18, 8937, 965, 16, 8688, 1560, 3962, 1843, 1540, 16, 3764, 16, 3452, 2363, 21547, 18, 3955, 11331, 935, 3139, 5842, 7043, 3121, 2179, 943, 16, 19349, 14627, 1501, 10465, 2059, 17753, 9605, 1485, 7121, 5486, 18, 4]"
Bbri lg turun bgt Oke,bbri lagi turun banget oke,bbr ##i lagi turun banget oke,5,6,"[3, 20406, 939, 1975, 3456, 10218, 19114, 4]"
Temen ten sdh keluar signal buy bbri Besok jam 11 rebon....,teman ten sudah keluar signal buy bbri besok jam 11 rebon.,teman ten sudah keluar signal buy bbr ##i besok jam 11 rebo ##n .,11,14,"[3, 3244, 2751, 1798, 2057, 29069, 10760, 20406, 939, 7275, 2418, 2363, 16080, 935, 18, 4]"
"WOYY PADAHAL UDAH EXPECT MAU SEROK BMRI <4200, ICBP <8700, ITMG <22000, All time Low 3 Years","woyy padahal sudah expect mau serok bmri 4200, icbp 8700, itmg 22000, all time low 3 years","woyy padahal sudah expect mau ser ##ok bm ##ri 42 ##00 , ic ##bp 87 ##00 , it ##mg 22 ##000 , all time low 3 years",17,27,"[3, 24955, 3482, 1798, 21245, 2882, 1648, 1590, 9772, 1667, 6113, 1873, 16, 6803, 16987, 9694, 1873, 16, 2848, 20151, 3119, 19244, 16, 5131, 7685, 10997, 23, 20902, 4]"
