tweet_original,tweet_preprocessed,tokens_wordpiece,jumlah_kata_sebelum,jumlah_token_sesudah,token_ids
"Untuk Kamis (14/11), simak rekomendasi saham dari beberapa analis berikut. @kontanNews https://investasi.kontan.co.id/news/simak-rekomendasi-saham-mdka-itmg-dan-bbri-untuk-hari-ini","untuk kamis 14 11 , simak rekomendasi saham dari beberapa analis berikut.","untuk kamis 14 11 , simak rekomendasi saham dari beberapa analis berikut .",12,13,"[3, 1559, 3692, 2585, 2363, 16, 10877, 9251, 3955, 1542, 1841, 9069, 2570, 18, 4]"
BBRI atau si DIA ya. Kadang bingung nentuin mana. Kalau weekend maunya sama si DIA Kalau weekday maunya pasar modal buka. Ada yg kaya gitu? . Yuk mulai atur dana tambahan untuk investasi mu mulai dari https://instagram.com/p/B1v1HPBJd90/?igshid=453yenz4ccam,bbri atau sih dia ya. kadang bingung menentukan mana. kalau weekend maunya sama sih dia kalau weekday maunya pasar modal buka. ada yang kayak gitu? . yuk mulai atur dana tambahan untuk investasi mu mulai dari,bbr ##i atau sih dia ya . kadang bingung menentukan mana . kalau weekend maunya sama sih dia kalau week ##day maunya pasar modal buka . ada yang kayak gitu ? . yuk mulai atur dana tambahan untuk investasi mu mulai dari,36,42,"[3, 20406, 939, 1647, 6041, 1801, 3316, 18, 3851, 9014, 4333, 2420, 18, 2280, 11637, 29397, 1959, 6041, 1801, 2280, 16119, 7887, 29397, 2820, 4830, 9012, 18, 1684, 1497, 15706, 14244, 35, 18, 16849, 2198, 20575, 2971, 4427, 1559, 5737, 3120, 2198, 1542, 4]"
"Leading Movers: HMSP, BBCA, ASII, BMRI, GGRM. Lagging Movers: BBRI, UNVR, MABA, TPIA, INAF. #MarketReview","leading movers hmsp, bbca, asii, bmri, ggrm. lagging movers bbri, unvr, maba, tpia, inaf. marketreview","lead ##ing move ##rs hm ##sp , bbc ##a , asi ##i , bm ##ri , gg ##rm . lag ##ging move ##rs bbr ##i , un ##v ##r , maba , tpi ##a , ina ##f . market ##re ##view",15,41,"[3, 11202, 1518, 15948, 31735, 15188, 10118, 16, 10947, 936, 16, 4206, 939, 16, 9772, 1667, 16, 18822, 19561, 18, 7949, 13547, 15948, 31735, 20406, 939, 16, 1541, 957, 934, 16, 11466, 16, 29336, 936, 16, 27329, 955, 18, 8549, 2881, 21813, 4]"
"Saham yg produknya terus dibutuhkan dan fast moving, misal ICBP, makin krisis indomie malah makin laris","saham yang produknya terus dibutuhkan dan fast moving, misal icbp, makin krisis indomie malah makin laris","saham yang produknya terus dibutuhkan dan fast mov ##ing , misal ic ##bp , makin krisis indomie malah makin laris",16,20,"[3, 3955, 1497, 16160, 2402, 5690, 1501, 23816, 12060, 1518, 16, 14236, 6803, 16987, 16, 4514, 4688, 16231, 4264, 4514, 16993, 4]"
"#BMRI telah menyediakan pembiayaan khusu sebesar Rp 150 miliar, dengan skema fasilitas accepted invoice financing untuk membantu mitra TINS dalam mendapatkan percepatan pembayaran.","bmri telah menyediakan pembiayaan khusu sebesar rp 150 miliar, dengan skema fasilitas accepted invoice financing untuk membantu mitra tins dalam mendapatkan percepatan pembayaran.","bm ##ri telah menyediakan pembiayaan khusu sebesar rp 150 miliar , dengan skema fasilitas acc ##ept ##ed inv ##oi ##ce finan ##cing untuk membantu mitra tin ##s dalam mendapatkan percepatan pembayaran .",23,32,"[3, 9772, 1667, 1703, 4783, 11499, 30948, 2635, 2265, 6768, 3732, 16, 1545, 12359, 4501, 11215, 18887, 1596, 3439, 7578, 3430, 9907, 6978, 1559, 3114, 8954, 8703, 944, 1558, 2720, 13723, 6983, 18, 4]"
Saham BBRI Rawan Koreksi di Akhir Pekan http://bit.ly/2psBj2s,saham bbri rawan koreksi di akhir pekan,saham bbr ##i rawan koreksi di akhir pekan,7,8,"[3, 3955, 20406, 939, 9332, 18011, 1485, 2010, 3630, 4]"
UNVR PBV NOL ! ROE nya 100% Dividend dibagi besok!,unvr pbv nol ! roe ya 100% dividend dibagi besok!,un ##v ##r pb ##v nol ! ro ##e ya 100 % dividen ##d dibagi besok !,10,17,"[3, 1541, 957, 934, 4609, 957, 12206, 5, 3057, 929, 3316, 3272, 9, 28781, 933, 6249, 7275, 5, 4]"
"Diborong Asing hingga Rp341 Miliar, Ini Peluang Saham BBRI https://goo.gl/m9LfUh","diborong asing hingga rp341 miliar, ini peluang saham bbri","diborong asing hingga rp3 ##41 miliar , ini peluang saham bbr ##i",9,12,"[3, 27228, 3779, 1967, 20849, 19928, 3732, 16, 1540, 4617, 3955, 20406, 939, 4]"
"PT Telekomunikasi Indonesia Tbk (TLKM, Rp3.580, BUY, TP Rp4.200) terus melakukan penyesuaian harga yang positif di pasar, walaupun reaksi parapesaing masih relatif diam.","pt telekomunikasi indonesia tbk tlkm, rp3.580, buy, tapi rp4.200 terus melakukan penyesuaian harga yang positif di pasar, walaupun reaksi parapesaing masih relatif diam.","pt telekomunikasi indonesia tbk tl ##km , rp3 . 58 ##0 , buy , tapi rp4 . 200 terus melakukan penyesuaian harga yang positif di pasar , walaupun reaksi para ##pes ##aing masih relatif diam .",23,36,"[3, 2865, 9302, 1718, 13629, 19349, 14627, 16, 20849, 18, 7152, 946, 16, 10760, 16, 2167, 22846, 18, 1692, 2402, 2063, 14329, 2661, 1497, 4590, 1485, 2820, 16, 3393, 5566, 1766, 14339, 13263, 1855, 5646, 4403, 18, 4]"
"AGENDA 23 OKTOBER 2019 Agenda Emiten • Rups/Pubex : ANDI, ESSA, TRIL • Pembayaran dividen interim : ASGR, AUTO, UNTR • Estimasi Rilis Laporan Keuangan Kuartal 3 2019 : BBNI, BDMN, BBRI","agenda 23 oktober 2019 agenda emiten rups pubex andi, essa, tril pembayaran dividen interim asgr, auto, untr estimasi rilis laporan keuangan kuartal 3 2019 bbni, bdmn, bbri","agenda 23 oktober 2019 agenda emiten rup ##s pub ##ex andi , ess ##a , tril pembayaran dividen inter ##im as ##gr , auto , unt ##r estimasi rilis laporan keuangan kuartal 3 2019 bb ##ni , bd ##mn , bbr ##i",27,42,"[3, 7047, 3192, 3345, 7063, 7047, 25353, 4019, 944, 19499, 3920, 7743, 16, 20432, 936, 16, 17975, 6983, 28781, 2065, 1549, 1673, 7585, 16, 20192, 16, 6841, 934, 29561, 10895, 3794, 3842, 23607, 23, 7063, 4448, 1920, 16, 18812, 24862, 16, 20406, 939, 4]"
