date,tweet,sentiment,saham
"2019-01-02","Jakarta Islamic Index Berbalik Melemah Tertekan Saham ICBP & INTP http:// bit.ly/2GPhgGX","negatif","icbp"
"2019-01-02","Analisa Teknikal #ICBP #SIDO #WSBP #GIAA #BNGA #KPAL #WTON: http:// youtu.be/2nVxZE-Rz_s?a via @YouTube","netral","icbp"
"2019-01-03","hahaha saham apa kau beli keppp?? indf icbp? wkwkwkwk","netral","icbp"
"2019-01-06","REKOMENDASI SAHAM:ICBP Masih Jadi Pilihan? http:// bit.ly/2RG7uvb","positif","icbp"
"2019-01-06","REKOMENDASI SAHAM:ICBP Masih Jadi Pilihan? https:// magsberita158363793.wordpress.com/2019/01/07/rek omendasi-sahamicbp-masih-jadi-pilihan/ …","positif","icbp"
"2019-01-07","Icbp serok bawaah yg lain bullish doi nyelem aje,sikat 10300 jon","positif","icbp"
"2019-01-07","Jika tahun lalu kita membeli saham Indofood (ICBP) diharga 8000 senilai 80 Juta, maka keuntungan kita tahun ini adalah sebesar Rp 24.250.000. #80Juta #ifyouknowwhatimean","positif","icbp"
"2019-01-07","ICBP mantaab Sayang cm punya 1 Semangat2 biar bs nambah icbp nya.. Klo bbca msh belum sanggup berbie","positif","icbp"
"2019-01-08","ICBP koreksi terus ntap...saatnya serokkkk...indomie seleraku","positif","icbp"
"2019-01-08","Range pergerakan IHSG pada hari ini yaitu 6264-6333. Saham yang diperhatikan adalah PNBN (buy), ICBP (buy), EXCL (buy), ANTM (SoS), SSMS (SoS), dan ACES (buy). Declaimer on,","positif","icbp"
"2019-01-08","JII Berbalik Turun ke Zona Merah, ICBP & UNVR Penekan Utama http:// bit.ly/2RAjYUP","negatif","icbp"
"2019-01-08","Gw sekarang pake kode terus. Duh enak nih makan ICBP goreng pake telor + kornet.","netral","icbp"
"2019-01-10","IHSG dibuka menguat 22,819 poin (0,36 persen) ke 6.295,057. https:// kumparan.com/@kumparanbisni s/ihsg-hijau-saham-layak-beli-elsa-hrum-icbp-smgr-sril-tram-1547085872094003998?utm_source=Twitter&utm_campaign=int&utm_medium=post …","positif","icbp"
"2019-01-14","Yok bisa kki kalo mau dikit2. Kalo yg 2cens bisa beli indofood (icbp) selot cumn 1jtan, (indf) 700 rban, atau bank mandiri (bmri) 700rban , macem2 sih ki tergntung km liat tu perusahaan analisanya gmn. Kalo menrt km worth it, ya beli","positif","icbp"
"2019-01-15","ULASAN EMITEN : Menimbang Kelezatan ICBP http:// bit.ly/2Ho10wG","netral","icbp"
"2019-01-15","Sekarang lg bearish, nyakarnya dalem nih masih di angka 10.000.. Ahaha Bullishnya belum nampak, tapi kalo ICBP sampe 11.500 tanduknya tajam nih~ https:// t.co/fPsed90bBO","positif","icbp"
"2019-01-16","gregetan banget akhir jam bursa liat saham icbp turun dongg jadi buru2 nyari BNI terdekat","negatif","icbp"
"2019-01-17","ICBP Sisakan Dana IPO Rp 417,49 Miliar. http:// neraca.co.id/article/111840","netral","icbp"
"2019-01-18","IHSG dibuka menguat 25,102 poin (0,39 persen) ke 6.448,882. https:// kumparan.com/@kumparanbisni s/ihsg-hijau-saham-layak-beli-bbni-bbri-doid-icbp-lsip-wood-1547776901974776030?utm_source=Twitter&utm_campaign=int&utm_medium=post …","positif","icbp"
"2019-01-20","Sektor perbankan itu salah satu penggerak perekonomian negara, perhatikan saja jumlah kapitalisasi saham di bursa, dikuasai sektor perbankan... Kalo ingin lebih prospektif, dan tahan krisis pilih sektor konsumer good, spt unvr, icbp, produknya yang digunakan sehari2 masyarakat","positif","icbp"
"2019-01-21","Menit2 terakhir.. Antrian $ICBP qu masi 2rebuan","netral","icbp"
"2019-01-21","2. Investor asing sementara ini membukukan pembelian bersih sebesar 136.52 miliar rupiah. Hingga saat ini investor asing melakukan pembelian terbesar pd saham BBCA, TLKM, ASII, HMSP, & ICBP. Investor asing melakukan penjualan terbesar pada saham BMRI, BTPS, TOWR, BBNI dan WSKT.","positif","icbp"
"2019-01-21","Profindo Sekuritas: IHSG Menguat, Rekomendasi Saham AKRA, ICBP, HRUM https:// magsberita158363793.wordpress.com/2019/01/21/pro findo-sekuritas-ihsg-menguat-rekomendasi-saham-akra-icbp-hrum/ …","positif","icbp"
"2019-01-21","Profindo Sekuritas: IHSG Menguat, Rekomendasi Saham AKRA, ICBP & HRUM http:// bit.ly/2Hpd15b","positif","icbp"
"2019-01-22","Asing continue buy terhadap beberapa saham ini BBRI, ASII, BBCA, TLKM, ICBP, HMSP, UNVR, PGAS, ACES #YukNabungSaham #saham #sekuritasdimalang Join group untuk update info. Selamat berinvestasi. https:// chat.whatsapp.com/Cx7Ndn08uMLKB2 n214xywk …","positif","icbp"
"2019-01-23","Top foreign net buy: BDMN, BBCA, HMSP, PGAS, ICBP. Top foreign net sell: BMRI, BBRI, ASII, UNTR, BBNI. #DailyReport","positif","icbp"
"2019-01-24","Simak rekomendasi saham BBCA, ICBP dan JPFA http:// investasi.kontan.co.id/news/simak-rek omendasi-saham-bbca-icbp-dan-jpfa …","positif","icbp"
"2019-01-24","Saham ASII & ICBP Topang JII Bertahan Positif di Awal Dagang https:// magsberita158363793.wordpress.com/2019/01/24/sah am-asii-icbp-topang-jii-bertahan-positif-di-awal-dagang/ …","positif","icbp"
"2019-01-24","Leading Movers: ASII, ICBP, BBRI, BNLI, INKP. Lagging Movers: TLKM, BBCA, HMSP, MKPI, TPIA. #MarketReview","positif","icbp"
"2019-01-24","#MarketReview #Saham TOP gainer by change: GGRM (+Rp650), ICBP (+Rp375), INKP (+Rp275), LPCK (+Rp250), dan ASII (+Rp250)","positif","icbp"
"2019-01-24","JII Pertahankan Rebound di Sesi I, ASII dan ICBP Masih Pendorong Utama http:// bit.ly/2S5EsVR","positif","icbp"
"2019-01-24","Saham ASII & ICBP Topang JII Bertahan Positif di Awal Dagang http:// bit.ly/2Ht2wxH","positif","icbp"
"2019-01-28","ICBP ga koreksi koreksi harga sahamnya. Yaampun berapa lama lg ku harus menunggu?","positif","icbp"
"2019-01-29","apakah beli saham ICBP maka harus makan indomie setiap saat","netral","icbp"
"2019-01-29","Top foreign net buy: ICBP, GGRM, BBRI, PGAS, LPPF. Top foreign net sell: BMRI, TLKM, BBCA, BBNI, BNLI. #DailyReport","positif","icbp"
"2019-01-30","Ngeborong mie... — di PT. Indofood, icbp, cibitung https:// facebook.com/10000625749320 2/posts/2236955963189632/ …","netral","icbp"
"2019-01-31","Bidik Pasar Urban, ICBP Rilis Produk Baru https:// goo.gl/fb/nNjLHC","positif","icbp"
"2019-02-01","Indofood CBP (ICBP) dan Asahi Hentikan Kerja Sama - http:// Bisnis.com https:// market.bisnis.com/read/20180603/ 192/802267/indofood-cbp-icbp-dan-asahi-hentikan-kerja-sama …","negatif","icbp"
"2019-02-01","kalo untuk investasi aku liat fundamental dan chart sampe 5 taun ke belakang.dan lebih aman pilih saham defensive. porto investasi cuma: BBRI, BBNI, ICBP, dan TLKM. biasanya nambah nyicil porto pas harga turun (setelah dividend cum date) atau beli banyak pas momentum IHSG rontok","positif","icbp"
"2019-02-02","Seenggaknya punya icbp sm indp","positif","icbp"
"2019-02-07","Gpp mz ICBP suda tbk. Raketang mangatusewu :v","netral","icbp"
"2019-02-09","IHSG lagi turun terus, tapi icbp & myor turun2.. kapan bisa beli di nilai wajar hemmm","negatif","icbp"
"2019-02-10","ICBP kuah laily :)","netral","icbp"
"2019-02-11","GGRM Lebih Murah Dibanding HMSP, UNVR dan ICBP https:// cnbcindonesia.com/market/2019021 1152547-17-54841/ggrm-lebih-murah-dibanding-hmsp-unvr-dan-icbp?utm_source=twitter&utm_medium=oa&utm_campaign=cnbcsocmed …","netral","icbp"
"2019-02-11","Mega Sekuritas: IHSG Menguat Terbatas, Rekomendasi Saham BoW ICBP & SMGR http:// bit.ly/2teN7XM","positif","icbp"
"2019-02-13","Jakarta Islamic Index Bergerak Fluktuatif, ICBP & TPIA Pendorong Utama Pagi Ini http:// bit.ly/2E8SgqN","positif","icbp"
"2019-02-19","Annual reportnya ICBP ini menurutku yg paling menarik sih. Fresh aja gitu berwarna kaya lagi baca webtoon bukan lapkeu. Karena mungkin bidangnya consumer goods jadi banyak produk yg bisa dibikin animasi","positif","icbp"
"2019-02-21","Awal bulan beli ICBP, akhir bulan beli Indomie @whyfitra Siiaapp","positif","icbp"
"2019-02-22","Lama ga buka portofolio langsung nangis bahagia liat ICBP :')","positif","icbp"
"2019-02-22","IHSG dibuka melemah 13,577 poin (0,21 persen) ke 6.524,189. https:// kumparan.com/@kumparanbisni s/ihsg-merah-saham-layak-beli-asri-icbp-indf-kaef-sril-unvr-1550801060939381341?utm_source=Twitter&utm_campaign=int&utm_medium=post …","positif","icbp"
"2019-03-01","ICBP terjun bebas sodara sodara","negatif","icbp"
"2019-03-03","bingung antara beli JBL atau ICBP :(","negatif","icbp"
