date,tweet,sentiment,saham
2019-01-01,"Udah mikirin sih, lumayan juga 300ribuan game AAA keluaran terbaru. Sayang vga belum apdet. Rencananya mau beli game nya dulu, baru nabung buat upgrade vga. Ga tau dah bakal bisa nabung 2-3 bulan, atau berharap bbri,adhi,hmsp meroket di bulan ini",,bbri
2019-01-02,"Perhatikan sekeliling; mana barang atau jasa yang sering orang beli dan gunakan? Perbankan? Ada $BBCA, $BBRI atau $BMRI Suka beli Pepsodenta tau Indomie? Ada $UNVR atau $INDF Suka beli teh kotak? Ada $ULTJ (Ultrajaya).",,bbri
2019-01-02,Bbri rri bba bba,,bbri
2019-01-02,Saham BBRI & BMRI Jadi Penekan Utama IHSG di Sesi I http:// bit.ly/2GO2Oig,,bbri
2019-01-03,menunggu bonus cair untuk membeli BMRI & BBRI,,bbri
2019-01-03,PERTUMBUHAN ANORGANIK : BBRI Incar Asuransi Kerugian http:// bit.ly/2GRayQA,,bbri
2019-01-03,"Indeks JII +1,52% ke level 695. Indeks Kompas100 +0,84% ke level 1.268. Indeks Sri Kehati +0,46% ke posisi 380. Indeks Sinfra18 +1,29% ke level 312. Saham-saham teraktif yang diperdagangkan: KPAS, WSKT, PGAS, TLKM, BBCA, BBRI dan BUMI.",,bbri
2019-01-03,"invest.pertama kali masuk bursa tahun 2006, jd merasakan bgt 2008 yg ambrol haha. tp banyak nya main bluechip .jarang second liner ,paling lama pegang BBRI.",,bbri
2019-01-03,"@BANKBRI_ID (BBRI) mengalokasikan dana sebesar Rp 1,5 triliun untuk mengakuisisi perusahaan asuransi kerugian atau asuransi umum. https:// cnbcindonesia.com/market/2019010 3173918-17-48988/bakal-caplok-asuransi-umum-bri-siapkan-rp-15-t?utm_source=twitter&utm_medium=oa …",,bbri
2019-01-03,"Investment news; Finance sector IDR1,174.21 B (-0.13%) BBTN: IDR2,550 (0.39%) BBRI: IDR3,610 (-1.37%) BMRI: IDR7,325 (-0.68%) BBNI: IDR8,725 (-0.85%) BNLI: IDR630 (0.80%) BNGA: IDR970 (6.01%) BTPN: IDR3,500 (1.74%) BBCA: IDR26,200 (0.77%)",,bbri
2019-01-04,Hmm... perlu nengok BBRI nih...,,bbri
2019-01-04,"@BANKBRI_ID (BBRI) akan menggandeng jasa pembayaran Alipay, milik Alibaba Group, guna mendukung industri pariwisata Indonesia yang berpotensi kebanjiran turis China. https:// cnbcindonesia.com/market/2019010 4111125-17-49086/incar-turis-china-bri-gandeng-alipay?utm_source=twitter&utm_medium=oa …",,bbri
2019-01-04,Kami masih merekomendasi BBRI dengan TP Rp4.100. (Tjandra Lienandjaja/ Riset Mandiri Sekuritas),,bbri
2019-01-04,"Catatan : perhatikan bahwa belum ada direksi Corporate Banking (yang sebelumnya ditangani oleh Kuswiyoto); belum pasti apakah Sunarso akan mengurus Corporate Banking atau tidak. Namun, BBRI berencana untuk mengurangi eksposur mereka di segmen ini.",,bbri
2019-01-04,"Berikut beberapa riset #NewsUpdate yang dapat menjadi acuan investasi Anda: § PT Bank Rakyat Indonesia Tbk’s new Board of Director members post the EGM: (BBRI, Rp3.630, BUY, TP Rp4.100)",,bbri
2019-01-04,"#terpopuler #news Siapkan Rp1,5 T, BBRI Incar Bisnis Asuransi via @inilahdotcom http:// ini.la/2501583",,bbri
2019-01-04,"Dari BBRI sampai GIAA, Simak Aksi Emiten-emiten Ini https:// mutiarasoftindo.com/dari-bbri-samp ai-giaa-simak-aksi-emiten-emiten-ini/ …",,bbri
2019-01-04,#EmitenNews Bank Rakyat Indonesia Tbk (BBRI) akan terbitkan obligasi berkelanjutan Rp 20T mulai 2019 hingga 3 thn ke depan utk perkuat permodalan,,bbri
2019-01-04,"[BERITA] Berita Hari Ini : BIRD Siapkan Capex Rp1,5 T, BBRI Terbitkan Obligasi Rp20 T - SMBR implementasikan sistem ERP, penjualan RALS membaik, PTSN target ekspor produk kerja sama Pegatron mulai 24 Januari http:// bit.ly/2s9kef9",,bbri
2019-01-04,"Berita Hari Ini : BIRD Siapkan Capex Rp1,5 T, BBRI Terbitkan Obligasi Rp20 T https:// goo.gl/15mxuW",,bbri
2019-01-04,"AKSI EMITEN: BBRI Incar Asuransi Kerugian, Lima Ruas Baru Bakal Kerek EBITDA JSMR http:// bit.ly/2RqSRM5",,bbri
2019-01-06,"Klo ga ngerti data, LK mnding blajar dlu, coba baca LK Bank bri $BBRI di google aja, ente pasti bisa baca... Tapi ga bakalan faham. Jangan samakan baca data dengan baca cerpen",,bbri
2019-01-06,Rapotnya mas ijo terus di BBRI hmmm... https:// x.com/romeogadungan/ /romeogadungan/status/1081892308524486659 …,,bbri
2019-01-07,Wahahahaha ibu negara buka komentar juga. Itu buka di aplikasi RTI juga ada sih. Tinggal tulis kode idx nya kayak Bank BRI : BBRI,,bbri
2019-01-07,Saham-saham teraktif yang diperdagangkan hari ini: BHIT SRIL ADRO INDY BUMI BBTN BBRI #MenjemputRejeki2019,,bbri
2019-01-07,Bikin meme mendiskreditkan pemerintah soal hutang | Modal: Laporan keuangan BBRI Q3 2018 LOOOOLLLL,,bbri
2019-01-07,#InfoNews PT Bank Mandiri Tbk (BBRI) telah mengimplementasikan kartu debit berchip sesuai ketetuan Bank Indonesia (BI) hingga awal tahun 2019. Total kartu chip telah mencapai 30%. https:// bit.ly/2QtHbU3,,bbri
