date,tweet,sentiment,saham
"2019-01-02","Bisakah aktivitas Pemilu 2019 dongkrak harga saham TLKM (PT Telekomunikasi Indonesia, Tbk ) ke level 5000 ? https:// tetraxchange.id/2019/01/bisaka h-pemilu-2019-dongkrak-saham-tlkm-ke-5000/ …","Positif","tlkm"
"2019-01-02","Beli EXCL, TLKM kalo perang harga sektor telco udah berakhir","Positif","tlkm"
"2019-01-02","-Tlkm https:// t.co/Jfewe1ywq2","Netral","tlkm"
"2019-01-02","Ooh Tlkm!","Netral","tlkm"
"2019-01-02","Indeks Saham Syariah Turun 0,25%, ASII & TLKM Penekan Utama http:// bit.ly/2GQie5S","Negatif","tlkm"
"2019-01-02","TLKM IJ: Entitas anak usaha (TLKM) , yaitu PT Sigma Cipta Caraka (Telkomsigma), resmi mengakuisisi 70% saham PT Collega Inti Pratama (CIP) (Cont) *Disclaimer On","Netral","tlkm"
"2019-01-03","Ini kata Telkom TLKM terkait rencana akuisisi Collega Inti Pratama http:// investasi.kontan.co.id/news/ini-kata- telkom-tlkm-terkait-rencana-akuisisi-collega-inti-pratama … #Emiten","Netral","tlkm"
"2019-01-03","Rekomendasi Saham: Menilik Prospek TLKM http:// bit.ly/2Ruo154","Positif","tlkm"
"2019-01-03","Kalo sampe crash ke 46 gila sih.. Ngaruh tau ntar sama perekonomian US. Itu sama kek di Indo kalo $TLKM crash, bisa ngeguncang negara.","Netral","tlkm"
"2019-01-03","Potensi Investasi Saham Jangka Panjang, Ilustrasi Beli IPO UNVR dan TLKM http:// suhusaham.com/2019/01/03/pot ensi-investasi-saham-jangka-panjang-ilustrasi-beli-ipo-unvr-dan-tlkm/ … #KeluargaCemara Blackpink #saham #nabungsaham","Positif","tlkm"
"2019-01-03","Indeks JII +1,52% ke level 695. Indeks Kompas100 +0,84% ke level 1.268. Indeks Sri Kehati +0,46% ke posisi 380. Indeks Sinfra18 +1,29% ke level 312. Saham-saham teraktif yang diperdagangkan: KPAS, WSKT, PGAS, TLKM, BBCA, BBRI dan BUMI.","Netral","tlkm"
"2019-01-03","TLKM bgm ya pak?","Netral","tlkm"
"2019-01-04","Sedi akutu pake indosat gambarnya ngga ada yg muncul, inila alasan kubeli TLKM 1 lot ~","Positif","tlkm"
"2019-01-04","Meh. -Tlkm","Negatif","tlkm"
"2019-01-04","Saham Telkom Indonesia (TLKM) hari ini ditutup pada Rp3.710 di Bursa Efek Indonesia, https:// bit.ly/2rzegnQ . Mari menabung saham! Karena saham Telkom pilihan tepat bagi Sobat. #TelkomUpdate","Positif","tlkm"
"2019-01-04","Yg merah itu TLKM & PTBA. Top gainer nya PTPP. Sisanya UNVR, SMGR, PGAS, BBCA. Kamu ambil apa aja Di? Merah apa ijo nih?","Negatif","tlkm"
"2019-01-04","@KemenBUMN @jokowi dengan maraknya bisnis OTT dan IOT, BUMN TELKOM lagi tertekan saya usul : baiknya TLKM menjadi perusahaan holding aja biar lebih mikir strategik & shareholder value. Biarkan anak pershn yg bekerja. Utk bisnis legacy diserahkan anak pershn atau buat baru.","Negatif","tlkm"
"2019-01-06","Google spreadsheet punya fungsi ""googlefinance"" yang bermanfaat untuk mengambil data pasar saham. Contoh =GOOGLEFINANCE(""IDX:TLKM"",""price""). Otomatis di-refresh per menit.","Netral","tlkm"
"2019-01-07","dan TLKM (+29,7 milyar) serta top seller-nya ada pada saham ASII (-17 milyar), UNTR (-12,8 milyar), dan ADRO (-12,4 milyar).","Positif","tlkm"
"2019-01-07","IHSG sekarang 6.319 plus 44 sedikit mengalami pelemahan walaupun masih berada di teritori positif sehingga kini berada di level 6323,89 dengan penguatan sebesar +49,35 poin (+0,78%). Saham-saham utama penggerak indeks hari ini adalah UNVR, BBCA, dan TLKM.","Positif","tlkm"
"2019-01-07","Indeks Bisnis27 Menguat 0,7%, Saham BBCA & TLKM Jadi Penopang http:// bit.ly/2RAvJe3","Positif","tlkm"
"2019-01-07","Gak juga sih kl data yg TLKM sepertinya bener, dia ambil Total Liabilities di perusahaan2 itu. Sah2 aja kalau bukan bank, memang bener bisa disimpulkan total kewajiban TLKM 99T (detilnya harus dilihat isinya apa aja, ada utang pinjaman tapi ada juga utang operasional ke supplier)","Netral","tlkm"
"2019-01-07","Saham UNVR & TLKM Tahan Indeks Syariah di Zona Hijau Pagi Ini http:// bit.ly/2H0hZFj","Positif","tlkm"
"2019-01-07","Mengawali perdagangan Senin (7/1), IHSG dibuka naik ke posisi 6.324,089. https:// kumparan.com/@kumparanbisni s/ihsg-hijau-rekomendasi-beli-saham-bbca-inco-inaf-inkp-ssms-tlkm-1546825983152155444?utm_source=Twitter&utm_campaign=int&utm_medium=post …","Positif","tlkm"
"2019-01-08","Chart TLKM:IDX -D1 Rectangle Diujung Bearish Flag - #TLKM http:// id.tradingview.com/chart/TLKM/lCR Mhbfp/ …","Negatif","tlkm"
"2019-01-08","Harga saham PT Telekomunikasi Indonesia Tbk (TLKM) menjadi saham paling digemari pemodal asing pada perdagangan hari ini. https:// cnbcindonesia.com/market/2019010 8164524-17-49610/wacana-bikin-fintech-bumn-saham-telkom-diborong-asing?utm_source=twitter&utm_medium=oa&utm_campaign=cnbcsocmed …","Positif","tlkm"
"2019-01-08","80 juta bisa buat beli: UNVR 5 lot BBCA 5 lot ASII 10 lot SMGR 10 lot TLKM 15 lot Sisanya buat beli SBR 005 ntar tanggal 10 Januari. Hmmm.","Positif","tlkm"
"2019-01-08","[BERITA] Ada Peluang Perdamaian Dagang AS - China, IHSG Berpeluang Lanjutkan Penguatan - Lima saham yang paling diburu asing kemarin yakni BBCA, BBNI, TLKM, PGAS dan BBRI http:// bit.ly/2Ff6fgy","Positif","tlkm"
"2019-01-09","Akuisisi Collega Inti Pratama tidak pengaruhi kinerja Telekomunikasi Indonesia (TLKM) http:// investasi.kontan.co.id/news/akuisisi- collega-inti-pratama-tidak-pengaruhi-kinerja-telekomunikasi-indonesia-tlkm … #Emiten","Netral","tlkm"
"2019-01-09","Analis: Tahun 2019 kinerja Telekomunikasi Indonesia (TLKM) bisa terdongkrak lagi http:// investasi.kontan.co.id/news/analis-ta hun-2019-kinerja-telekomunikasi-indonesia-tlkm-bisa-terdongkrak-lagi … #Emiten","Positif","tlkm"
"2019-01-09","Analis: Perang tarif tidak menghalangi kinerja Telekomunikasi Indonesia (TLKM) http:// investasi.kontan.co.id/news/analis-pe rang-tarif-tidak-menghalangi-kinerja-telekomunikasi-indonesia-tlkm … #Emiten","Positif","tlkm"
"2019-01-09","Analis melihat pemilu tahun ini menjadi berkah bagi saham TLKM http:// investasi.kontan.co.id/news/analis-me lihat-pemilu-tahun-ini-menjadi-berkah-bagi-saham-tlkm … #PTTelkomIndonesia/TLKM","Positif","tlkm"
"2019-01-09","Saham-saham teraktif yang diperdagangkan: SRIL KPAS ISAT TLKM BBRI ADRO INDY","Netral","tlkm"
"2019-01-09","Leading Movers: BMRI, BBRI, ISAT, UNTR, TBIG. Lagging Movers: UNVR, TLKM, HMSP, GGRM, BDMN. #MarketReview","Negatif","tlkm"
"2019-01-09","Sudah ada yang tahu kemana arah pergerakan perusahaan berkode saham TLKM hari ini? http:// bit.ly/2H2qf7S","Netral","tlkm"
"2019-01-10","Investor asing mencatat net buy pada pasar reguler sebesar Rp 613,1 miliar, dengan net buy tertinggi oleh BBRI, BMRI dan TLKM. #MarketReview","Positif","tlkm"
"2019-01-10","Saham TLKM & INKP Pendorong Utama IHSG Akhir Sesi I http:// bit.ly/2H2FVrO","Positif","tlkm"
"2019-01-10","Saham TLKM & INKP Pendorong Utama IHSG Akhir Sesi I https:// magsberita158363793.wordpress.com/2019/01/10/sah am-tlkm-inkp-pendorong-utama-ihsg-akhir-sesi-i/ …","Positif","tlkm"
"2019-01-10","Jakarta Islamic Index Menguat 0,62 Persen Akhir Sesi I, TLKM dan UNVR Pendorong Utama http:// bit.ly/2H2E0U8","Positif","tlkm"
"2019-01-11","Emiten TLKM cin, biasalah g penting ini jayus soalnya. Kwkwkw","Netral","tlkm"
"2019-01-11","udah 2x org tlkm yg mau serpis kabel katanya digangguin kunti di pohon jambu rumah sebelah. gw knapa ga pnah liat ya... penasaran","Netral","tlkm"
