word,score,pos_freq,neg_freq
smsm,2.1972245773362196,9,1
mengawali,2.1972245773362196,9,1
sbn,2.1972245773362196,18,2
higher,2.1972245773362196,9,1
segar,2.1972245773362196,9,1
pwon,2.1972245773362196,9,1
naikk,2.1972245773362196,9,1
legendaris,2.1972245773362196,9,1
aminn,2.1972245773362196,9,1
nas,2.1972245773362196,18,2
dibagikan,2.1972245773362196,9,1
ultra,2.1972245773362196,9,1
siapkan,2.1972245773362196,9,1
diapresiasi,2.1972245773362196,9,1
apresiasi,2.1972245773362196,18,2
hemat,2.1972245773362196,9,1
susu,2.1972245773362196,9,1
div,2.1972245773362196,9,1
bersandi,2.1972245773362196,9,1
agus,2.1972245773362196,9,1
box,2.1972245773362196,9,1
gass,2.1972245773362196,18,2
dijamin,2.1972245773362196,9,1
menanjak,2.1972245773362196,9,1
mynz,2.1972245773362196,9,1
accum,2.1972245773362196,9,1
ramadan,2.1972245773362196,18,2
buy,2.1695926386741333,464,53
bawa,2.159484249353372,26,3
senyum,2.128231705849268,42,5
area,2.1118068261818674,157,19
melejit,2.0794415416798357,16,2
pesta,2.0794415416798357,32,4
alhamdulillah,2.0794415416798357,72,9
kunjungi,2.0794415416798357,16,2
kaos,2.0794415416798357,8,1
kenyamanan,2.0794415416798357,8,1
alhamdulilah,2.0794415416798357,8,1
bles,2.0794415416798357,8,1
congrats,2.0794415416798357,8,1
pecahkan,2.0794415416798357,8,1
kaleng,2.0794415416798357,16,2
danareksa,2.0794415416798357,8,1
line,2.0794415416798357,8,1
saranku,2.0794415416798357,8,1
wonderkid,2.0794415416798357,8,1
kerenn,2.0794415416798357,8,1
menabung,2.0794415416798357,8,1
award,2.0794415416798357,8,1
panen,2.0794415416798357,16,2
menyalip,2.0794415416798357,8,1
pembelian,2.0794415416798357,16,2
tingkatkan,2.0794415416798357,8,1
short,2.0614230361771577,110,14
longterm,2.03688192726104,23,3
incaran,2.0149030205422647,15,2
week,2.0149030205422647,15,2
didukung,2.0149030205422647,15,2
positif,1.992430164690206,110,15
term,1.990361911626147,161,22
agustus,1.9810014688665833,29,4
dorong,1.9810014688665833,29,4
cair,1.9810014688665833,29,4
persero,1.9740810260220096,108,15
direkomendasikan,1.9459101490553132,7,1
tuch,1.9459101490553132,7,1
terdorong,1.9459101490553132,7,1
pesat,1.9459101490553132,7,1
track,1.9459101490553132,7,1
mencatat,1.9459101490553132,14,2
mantep,1.9459101490553132,28,4
memiliki,1.9459101490553132,49,7
sage,1.9459101490553132,7,1
makasi,1.9459101490553132,7,1
lampaui,1.9459101490553132,7,1
menggiurkan,1.9459101490553132,7,1
rdg,1.9459101490553132,7,1
equity,1.9459101490553132,7,1
rutin,1.9459101490553132,21,3
dicicil,1.9459101490553132,7,1
aww,1.9459101490553132,7,1
star,1.9459101490553132,7,1
nikmat,1.9459101490553132,7,1
berbagi,1.9459101490553132,7,1
bullion,1.9459101490553132,7,1
andil,1.9459101490553132,7,1
bukankah,1.9459101490553132,7,1
qlola,1.9459101490553132,7,1
rekomen,1.9459101490553132,7,1
notif,1.9459101490553132,7,1
thrnya,1.9459101490553132,7,1
komitmen,1.9459101490553132,14,2
