word,score,pos_freq,neg_freq
speculative,2.1972245773362196,9,1
domestik,2.1972245773362196,18,2
brilian,2.1972245773362196,9,1
qtela,2.1972245773362196,9,1
toba,2.1972245773362196,9,1
download,2.1972245773362196,9,1
eraa,2.1972245773362196,72,8
business,2.1972245773362196,9,1
maksimal,2.1972245773362196,27,3
miliki,2.1972245773362196,9,1
terbitkan,2.1972245773362196,9,1
patut,2.1972245773362196,9,1
stok,2.1972245773362196,9,1
semen,2.1972245773362196,9,1
perkiraan,2.1972245773362196,9,1
bukaan,2.1972245773362196,9,1
payout,2.1972245773362196,18,2
kerek,2.1972245773362196,9,1
serap,2.1972245773362196,9,1
tspc,2.1972245773362196,18,2
special,2.1972245773362196,9,1
auliaptr,2.1972245773362196,9,1
hello,2.1972245773362196,9,1
tahap,2.1972245773362196,9,1
shopeepay,2.1972245773362196,9,1
desa,2.1972245773362196,27,3
hunter,2.1972245773362196,9,1
mengambil,2.1972245773362196,9,1
marah,2.1972245773362196,9,1
sekadar,2.1972245773362196,9,1
kendaraan,2.1972245773362196,9,1
will,2.1972245773362196,9,1
based,2.1972245773362196,9,1
social,2.1972245773362196,9,1
meluncurkan,2.1972245773362196,9,1
calon,2.1972245773362196,9,1
wilayah,2.1972245773362196,9,1
tabung,2.1972245773362196,9,1
bergabung,2.1972245773362196,9,1
prda,2.1972245773362196,9,1
ipcm,2.1972245773362196,9,1
wib,2.1972245773362196,27,3
utak,2.1972245773362196,9,1
series,2.1972245773362196,9,1
artis,2.1972245773362196,9,1
diakum,2.1972245773362196,9,1
mjb,2.1972245773362196,9,1
istimewa,2.1972245773362196,9,1
penghasilan,2.1972245773362196,9,1
bpjs,2.1972245773362196,9,1
online,2.1972245773362196,27,3
tahunnya,2.1972245773362196,9,1
dapur,2.1972245773362196,9,1
rand,2.1972245773362196,9,1
upside,2.1972245773362196,9,1
twitter,2.1972245773362196,9,1
enaknya,2.1972245773362196,18,2
nikmat,2.1972245773362196,9,1
seiring,2.1972245773362196,18,2
cemerlang,2.1972245773362196,9,1
nawar,2.1972245773362196,9,1
parang,2.1972245773362196,9,1
green,2.1972245773362196,9,1
penawaran,2.1972245773362196,9,1
track,2.1972245773362196,9,1
anggaran,2.1972245773362196,9,1
berbeda,2.1972245773362196,18,2
bogor,2.1972245773362196,9,1
seluler,2.1972245773362196,9,1
sma,2.1972245773362196,18,2
sayank,2.1972245773362196,9,1
silo,2.1972245773362196,27,3
menemani,2.1972245773362196,9,1
kodenya,2.1972245773362196,9,1
berkualitas,2.1972245773362196,9,1
deretan,2.1972245773362196,9,1
haka,2.1972245773362196,27,3
kisi,2.1972245773362196,9,1
akses,2.1972245773362196,18,2
ramadhan,2.1972245773362196,9,1
bersinar,2.1972245773362196,9,1
sale,2.1972245773362196,9,1
below,2.1972245773362196,18,2
web,2.1972245773362196,18,2
dipertimbangkan,2.1972245773362196,9,1
min,2.1972245773362196,72,8
permintaan,2.1972245773362196,9,1
sabi,2.1972245773362196,9,1
senang,2.1972245773362196,18,2
ppt,2.1972245773362196,9,1
budget,2.1972245773362196,9,1
perkembangan,2.1972245773362196,18,2
accumulate,2.1972245773362196,9,1
dinamika,2.1972245773362196,9,1
ndar,2.1972245773362196,9,1
purbaya,2.1972245773362196,18,2
ketinggalan,2.1972245773362196,54,6
tenggara,2.1972245773362196,9,1
konstruksi,2.1972245773362196,9,1
mitratel,2.1972245773362196,9,1
perdana,2.1972245773362196,9,1
memproduksi,2.1972245773362196,9,1
daun,2.1972245773362196,9,1
menawarkan,2.1972245773362196,9,1
pera,2.1972245773362196,9,1
axton,2.1972245773362196,9,1
liga,2.1972245773362196,9,1
rebutan,2.1972245773362196,9,1
bali,2.1972245773362196,9,1
sept,2.1972245773362196,9,1
womf,2.1972245773362196,9,1
admin,2.1972245773362196,9,1
segini,2.186051276738094,89,10
mencapai,2.1832383353614797,71,8
yaitu,2.178532444324067,53,6
kasih,2.178532444324067,106,12
menarik,2.1777117631126375,203,23
favorit,2.174751721484161,44,5
pemegang,2.1722232751308024,158,18
bukti,2.169053700369523,35,4
dibeli,2.163998929707899,148,17
umkm,2.1624384612508036,113,13
semoga,2.1608569331653444,243,28
deposito,2.159484249353372,26,3
mcopeets,2.159484249353372,26,3
elliott,2.159484249353372,26,3
live,2.159484249353372,26,3
lanjutkan,2.159484249353372,26,3
antm,2.1569168538481263,389,45
bagi,2.1567332159814825,242,28
tembus,2.153549513833558,112,13
maret,2.142863368117332,179,21
assa,2.1400661634962708,17,2
internasional,2.1400661634962708,17,2
cmiiw,2.1400661634962708,17,2
anthony,2.1400661634962708,17,2
harian,2.1400661634962708,34,4
komen,2.1400661634962708,17,2
siapkan,2.1400661634962708,17,2
berhasil,2.1400661634962708,68,8
pembahasan,2.1400661634962708,17,2
digitalisasi,2.1400661634962708,17,2
watchlist,2.1400661634962708,34,4
dateng,2.1400661634962708,17,2
rdn,2.1400661634962708,17,2
gelombang,2.1400661634962708,17,2
kenceng,2.1400661634962708,17,2
berkah,2.1400661634962708,17,2
liburan,2.1400661634962708,17,2
fitur,2.1400661634962708,17,2
empat,2.1400661634962708,17,2
lanjut,2.128231705849268,126,15
bergerak,2.12525107771113,67,8
alhamdulillah,2.12525107771113,67,8
sukses,2.1211142380804042,392,47
enggak,2.120263536200091,25,3
pajak,2.120263536200091,25,3
karya,2.120263536200091,25,3
year,2.120263536200091,25,3
maksudnya,2.120263536200091,25,3
kamis,2.1102132003465894,66,8
strategi,2.1102132003465894,99,12
bawah,2.1044636978553286,607,74
sebanyak,2.1000608288825715,49,6
adro,2.0978873874705872,383,47
berpotensi,2.089010992695987,105,13
perusahaan,2.088546308672755,331,41
selengkapnya,2.0856720914304723,161,20
antri,2.0794415416798357,16,2
seksi,2.0794415416798357,8,1
tujuannya,2.0794415416798357,8,1
video,2.0794415416798357,16,2
terstruktur,2.0794415416798357,8,1
ancol,2.0794415416798357,8,1
kemampuan,2.0794415416798357,8,1
ldr,2.0794415416798357,8,1
alokasi,2.0794415416798357,8,1
referral,2.0794415416798357,8,1
rate,2.0794415416798357,40,5
skr,2.0794415416798357,8,1
pegadaian,2.0794415416798357,8,1
peringkat,2.0794415416798357,16,2
mlpt,2.0794415416798357,8,1
